word,score
para,0
está,0
pero,0
bien,0
como,0
aquí,0
esto,0
todo,0
estoy,0
ahora,0
esta,0
vamos,0
algo,0
bueno,0
tengo,0
cuando,0
estás,0
nada,0
cómo,0
este,0
tiene,0
puedo,0
ella,0
quiero,0
hacer,0
gracias,0
sólo,0
todos,0
porque,0
tienes,0
creo,0
sabes,0
estaba,0
puede,0
eres,0
usted,0
entonces,0
hola,0
solo,0
verdad,0
casa,0
quién,0
tiempo,0
nunca,0
dónde,0
favor,0
mucho,0
quieres,0
siento,0
señor,0
mejor,0
hace,0
decir,0
también,0
sobre,0
dios,0
tenemos,0
están,0
puedes,0
hombre,0
vida,0
alguien,0
cosas,0
siempre,0
hasta,0
años,0
antes,0
estar,0
poco,0
noche,0
hecho,0
estamos,0
otra,0
acuerdo,0
trabajo,0
nosotros,0
parece,0
gente,0
padre,0
mira,0
mismo,0
dijo,0
nadie,0
quiere,0
podría,0
hablar,0
ellos,0
pasa,0
fuera,0
después,0
desde,0
dinero,0
mundo,0
claro,0
momento,0
tener,0
estado,0
otro,0
había,0
mañana,0
tenía,0
madre,0
vale,0
lugar,0
haciendo,0
donde,0
seguro,0
sabe,0
podemos,0
espera,0
nuevo,0
sido,0
cosa,0
hijo,0
allí,0
menos,0
tipo,0
amigo,0
gran,0
nuestro,0
mujer,0
mamá,0
luego,0
papá,0
días,0
dice,0
tres,0
buena,0
necesito,0
dije,0
gusta,0
quería,0
será,0
haber,0
parte,0
todas,0
crees,0
buen,0
conmigo,0
nombre,0
mierda,0
nuestra,0
debe,0
realmente,0
estas,0
toda,0
hacerlo,0
cada,0
visto,0
importa,0
contigo,0
tienen,0
hemos,0
razón,0
alguna,0
tanto,0
saber,0
hizo,0
veces,0
serio,0
idea,0
tarde,0
problema,0
hora,0
cierto,0
dicho,0
quien,0
demasiado,0
amor,0
entre,0
pasado,0
familia,0
estos,0
policía,0
debería,0
ustedes,0
chica,0
esos,0
chicos,0
cuenta,0
haces,0
todavía,0
salir,0
algún,0
vaya,0
unos,0
amigos,0
hermano,0
pensé,0
sabía,0
cabeza,0
cariño,0
digo,0
hombres,0
buenas,0
somos,0
cualquier,0
forma,0
mientras,0
lado,0
debo,0
sería,0
caso,0
pueden,0
pasó,0
primera,0
genial,0
chico,0
supuesto,0
hice,0
pues,0
adiós,0
muchas,0
personas,0
señora,0
volver,0
esas,0
quizá,0
contra,0
camino,0
durante,0
hablando,0
manera,0
muerto,0
persona,0
rápido,0
cuál,0
ayuda,0
historia,0
supongo,0
nueva,0
entiendo,0
dentro,0
casi,0
puerta,0
pasar,0
primero,0
significa,0
semana,0
hacia,0
quizás,0
espero,0
juntos,0
niños,0
pronto,0
suerte,0
ciudad,0
siquiera,0
feliz,0
venir,0
hija,0
gustaría,0
minutos,0
cuánto,0
muerte,0
dejar,0
realidad,0
deja,0
problemas,0
importante,0
dijiste,0
corazón,0
miedo,0
jefe,0
agua,0
haré,0
justo,0
horas,0
poder,0
buenos,0
